                                   icb_name                                    | icb_code |              practice_name               | practice_code | postcode | total_items | total_actual_cost | avg_cost_per_item | icb_q1_total_actual_cost | icb_q3_total_actual_cost | high_cost_outlier_threshold | amount_above_threshold 
 NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD                    | QT6      | ST AUSTELL HEALTH GROUP                  | Y04957        | PL25 3EF |       68516 |         609149.84 |              8.89 |                   124.39 |                153897.89 |                   384558.14 |              224591.70
 NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD                        | QHM      | JAMES STREET GROUP PRACT                 | A82047        | CA14 2DL |       79779 |         624795.89 |              7.83 |                  4693.66 |                163218.15 |                   401004.89 |              223791.00
 NHS SOUTH EAST LONDON INTEGRATED CARE BOARD                                   | QKK      | SIDCUP MEDICAL CENTRE                    | G83066        | DA14 6BU |       58593 |         475296.84 |              8.11 |                  3015.33 |                106969.99 |                   262901.98 |              212394.86
 NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD                          | QOQ      | DRS REDDY AND NUNN                       | B81069        | YO16 4LZ |       84713 |         664893.19 |              7.85 |                  3215.96 |                183626.96 |                   454243.46 |              210649.73
 NHS SURREY HEARTLANDS INTEGRATED CARE BOARD                                   | QXU      | MODALITY EAST SURREY MEDICAL PRACTICE    | H81638        | RH6 9PT  |       50537 |         550780.91 |             10.90 |                  3501.19 |                139828.01 |                   344318.24 |              206462.67
 NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD                          | QOQ      | THE ROXTON PRACTICE                      | B81039        | DN40 1JW |       79142 |         658516.24 |              8.32 |                  3215.96 |                183626.96 |                   454243.46 |              204272.78
 NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD                         | QRL      | CAMROSE GILLIES AND HACKWOOD PARTNERSHIP | J82069        | RG22 4EH |       67200 |         752795.24 |             11.20 |                 15781.71 |                231127.75 |                   554146.82 |              198648.42
 NHS SOUTH EAST LONDON INTEGRATED CARE BOARD                                   | QKK      | MODALITY LEWISHAM (ML)                   | G85004        | SE23 1HU |       37964 |         451305.56 |             11.89 |                  3015.33 |                106969.99 |                   262901.98 |              188403.58
 NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD               | QK1      | LATHAM HOUSE MEDICAL PRACTICE            | C82038        | LE13 1NX |       53175 |         584198.97 |             10.99 |                  3074.19 |                160330.42 |                   396214.77 |              187984.20
 NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD               | QHG      | WATLING STREET PRACTICE                  | K82009        | MK11 1YA |       52726 |         557917.60 |             10.58 |                  1009.30 |                150914.48 |                   375772.25 |              182145.35
 NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD               | QK1      | WILLOWS HEALTH                           | Y00137        | LE5 4LJ  |       58578 |         577622.72 |              9.86 |                  3074.19 |                160330.42 |                   396214.77 |              181407.95
 NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD                          | QOQ      | HULL FAMILY PRACTICE                     | B81008        | HU9 2LJ  |       92134 |         629686.55 |              6.83 |                  3215.96 |                183626.96 |                   454243.46 |              175443.09
 NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD                                     | QR1      | ASPEN MEDICAL PRACTICE                   | L84026        | GL1 3PX  |       63022 |         514883.35 |              8.17 |                   265.37 |                137823.93 |                   344161.77 |              170721.58
 NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD                                     | QR1      | ROSEBANK SURGERY                         | L84050        | GL1 5JQ  |       63646 |         513955.02 |              8.08 |                   265.37 |                137823.93 |                   344161.77 |              169793.25
